Model_stage,Model_step,Criterion,Description,Violation,Underprediction_prediction_error_certainty,Overprediction_prediction_error_certainty,Prediction_justification,Underprediction_projection_error_certainty,Overprediction_projection_error_certainty,Projection_justification,Solutions
Foundational,General,Species-environment equilibrium,"SDMs often assume that species are in equilibrium (or quasi-equilibrium) with their environment in their native range. That is, suitable habitat is fully occupied or saturated (e.g. Gallien et al. 2012, Zurell et al. 2024).","This assumption can be violated for several reasons. For instance, the native range of the species can be restricted by biotic interactions (e.g. competition, predation, disturbances, etc.) (Richmond et al. 2010). There is also increasing evidence that range-shifting species are lagging behind their climatically suitable habitat (Svenning et al. 2008), leading to suitable habitat not yet colonised (“colonisation credit”) .... Zurell et al. 2023, see also Thuiller et al. 2019, Foden et al 2007; Foster et al. 2022).",Always,Always,,Always,Always,,"Use historical range information for model training., Develop a dispersal model to best estimate the species potential distribution (Merow et al. 2016)., Include species' ecological traits in SDMs (Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022)., Acknowledge modelers were unable to address this assumption., Can we use disequilibrium indicators (e.g. filled vs. unfilled regional niches) to predict a species' future spread or adaptation potential?., ""Use models that incorporate biological processes (e.g. thermal limits, energetics) rather than just statistical correlations, as these better capture real-world limitations beyond simple climate."", ""Add functions relating occurrence likelihood to distance from known locations to account for dispersal limitations and mass effects, improving niche models."", Implement Nested SDMs (N-SDMs; Guisan et al. 2025)."
Foundational,General,Niche stability,"SDMs typically assume that species maintain their ecological niche (the set of environmental conditions they require to thrive) across space and time. That is, ""Ecological niche models also assume niche conservatism"" (Wiens et al. 2009, Gallien et al. 2012).","This assumption can be violated for several reasons. For instance, evolutionary or behavioral adaptation to environmental conditions. New ecological relationships in introduce range. ""Short-generation species are capable of rapid evolutionary change (Franks et al. 2007)."" (Wiens et al. 2009, see also (Root et al. 2003).",Sometimes,Sometimes,,Always,Sometimes,,"Shorten timescale of analysis., Acknowledge modelers were unable to address this assumption."
Foundational,General,No dispersal limitation,SDMs assummes that species occur at all locations where habitat is suitable and can readily move to new suitable areas if they are available (e.g.  Jeschke & Strayer 2008). SDMs implicitly assume that species have had enough time to disperse to all suitable habitats within the study area and are at equilibrium with their environment (no dispersal limitation). This is a convenience assumption used to simplify the modeling process.,Modelers usually consider two extreme scenarios: full dispersal scenarios vs. no-dispersal scenarios. See also Zurell et al. 2023),Always,Always,"See criteria ""Species-environment equilibrium"".",Always,Always,"See criteria ""Species-environment equilibrium"".","Incorporating distance constraints into species distribution models (Allouche et al. 2008)., ""More advanced, mechanistic, or dynamic SDMs (D-SDMs) often incorporate dispersal as a key variable to simulate how species ranges might expand or shift over time, especially in response to climate change (e.g.  Shipley et al. 2021; Zurell 2017; Evans et al 2015)."", ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for Always model accuracy and low uncertainty, regarless of explaining of predictors."""
Foundational,General,Biotic interactions / Eltonian noise hypothesis,"It is usually assume that biotic interations only introduce statistical noise"" and don't cause significant biases in the species' distribution within the study area."" (Soley-Guardia et al. 2024). . See also for Biotic importance (Araújo & Luoto 2007; Fern et al 2019) and species interactions (Suttle et al. 2007, Poggiato et al. 2025). See also Co-occurrence is not evidence of ecological interactions (Blanchet et al. 2020) and others (Jeschke & Strayer 2008).","This assumption can be violated for several reasons. For instance, there could be a prominent role for species interactions in ecosystem response to climate change. ""The influence of biotic interactions on species distributions is still debated, and potential inaccuracies in data sources (e.g. metawebs, environmental covariates) could mean that including prey as additional predictors may not always enhance predictions and may sometimes degrade them."" (Poggiato et al. 2025; Godsoe & Harmon 2012)",Rarely,Always,,Rarely,Always,,"Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption."
Foundational,General,Species genotype & phenotype stability,"SDMs usually assumes that genetic and phenotypic composition of species is constant over space and time."" (Jeschke & Strayer 2008).","This assumption can be violated for several reasons. For instance, genetic or phenotypic changes might occur when species confront new environmental conditions. Evolutionary change does happen and sometimes even relatively fast. (Jeschke & Strayer 2008). Se also Fitzpatrick & Keller (2014), Kebede et al. (2021), Hällfors et al. (2015).",Sometimes,Sometimes,"See criteria ""Niche stability"".",Always,Sometimes,"See criteria ""Niche stability"".","Use trait data sets as a proxy of population phenotypic differentiation (Kebede et al. 2021; Chardon et al. 2019)., Acknowledge modelers were unable to address this assumption."
Foundational,General,Understanding the ecological processes driving species distribution and abundances,"Model resemble full understanding of the ecological processes driving species distributions/abundances acting at multiple spatial and temporal scales (e.g. Elith & Leathwick 2009; Austin 2009; Bryn et al. 2021; Ulrich et al. 2022), such as environmental filtering, biotic interactions, dispersal, ecological drift, etc.  Predictors do not influence species one by one, but act on the species in concert. A few major complex-gradients normally account for most of the variation in species composition that can be explained environmentally. Species occur within a restricted interval along each major complex-gradient (e.g. Halvorsen 2012).","Lack of knowledge on the true relationships between variables for field data and the shape of these relationships. There is limited knowledge of the species distribution dynamics (e.g. colonization and local extinction) and these dynamics might not be included in the model.  See Vallecillo et al. 2019, Howard et al. 2020).",,,"See criteria ""Eltonian noise hypothesis""; ""No dispersal limitation""; and ""Genotype and phenotype stability"".",,,"See criteria ""Eltonian noise hypothesis""; ""No dispersal limitation""; and ""Genotype and phenotype stability"".","Include disturbance processes (i.e. fire regimes) as potential predictors of changes in species distributions (e.g.; Vallecillo et al. 2009)., Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for Always model accuracy and low uncertainty, regarless of explaining of predictors."""
"Data quality, relevance and preparation",Species datasets,Species misidentification,"Input data are free of substantial errors regarding taxonomic identification (Soley-Guardia et al. 2024, see also Aubry et al. 2017, Maldonado et al. 2015, Araujo et al. 2019).",Older records might be prone to suffer from misidentification,Rarely,Always,,Rarely,Always,,"Implement partial vetting (Soley et al. 2024)., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Remove occurrences without spatial reference., Acknowledge modelers were unable to address this assumption."
"Data quality, relevance and preparation",Species datasets,Spatial positional error,"Input data are free of substantial errors regarding georeference (Soley-Guardia et al. 2024; Araujo et al. (2019). See also Aubry et al. 2017, Maldonado et al. 2015 and positional error see Gábor et al. 2019). Increaisng sample size does not overcome the effect of positional error (Gábor et al. 2019)","Errors in georeferencing, Older records might be prone to suffer from uncertainty in spatial georeferencing",Sometimes,Sometimes,,Sometimes,Sometimes,,"Implement partial vetting (Soley et al. 2024)., Remove occurrences without spatial reference., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption."
"Data quality, relevance and preparation",Species datasets,Predictor spatial & temporal resolution matches species data,The assumption is that the spatial and temporal uncertainty are smaller than the resolution of the environmental predictors (Soley-Guardia et al. 2024; https://www.science.org/doi/10.1126/sciadv.aat4858). See also Maldonado et al. 2015 and Seo et al. 2008; ; Meynard et al. 2023.,Mismatches in spatiotemporal scales between species and covariates datasets (e.g. Wiens et al. 2010).,,,,,,,"Assess apropiate scale of the analyisis (matching with covariates)., Acknowledge modelers were unable to address this assumption."
